longitudinal_ha,transversal_ha,unite,famille_id/id,code_article,longueur,largeur,poids_unit,diametre,diametre_longitudinal,maille_longitudinal,maille_transversal
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1150,1150,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR6,95",,,1.00000000e+00,6.94999981e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD6,95X3000",3000,,1.00000000e+00,6.94999981e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx900,900,,1.00000000e+00,8.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,ERB1,3000,900,1.12570000e+01,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB2,1900,1150,6.18100023e+00,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,ERB3,3100,1900,1.78040009e+01,6.00000000e+00,6.00000000e+00,150,150
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD7HAx2400,2400,,1.00000000e+00,7.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD7HAx6000,6000,,1.00000000e+00,7.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC5L,6000,2400,4.34879990e+01,7.00000000e+00,7.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC4SI,2900,2200,1.89360008e+01,6.00000000e+00,6.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSCSI,2900,2200,1.39189997e+01,6.00000000e+00,6.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC7SI,2900,2200,2.47660007e+01,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC12SI,2900,2200,3.36930008e+01,8.00000000e+00,8.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,PTS4,1830,1400,1.23750000e+01,8.00000000e+00,8.00000000e+00,200,135
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx1800,1800,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx3150,3150,,0.00000000e+00,6.00000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC4S1,3150,2400,2.23770008e+01,6.00000000e+00,6.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC4S2,3150,1800,1.67830009e+01,6.00000000e+00,6.00000000e+00,150,150
,,Kg,production.production_famille_barres_dressees_coupees,TRD6x4500,4500,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR3,9",,,1.00000000e+00,3.90000010e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC6S3,2400,300,2.21700001e+00,5.00000000e+00,5.00000000e+00,100,100
,,U,production.production_famille_treillis_soudes,TSLS0D,6300,750,1.00000000e+01,2.86999989e+00,2.86999989e+00,50,50
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX2550,2550,,1.00000000e+00,5.00000000e+00,,,
